MyRacket.x,MyRacket.y,MyRacket.z,OpponentRacket.x,OpponentRacket.y,OpponentRacket.z,Ball.x,Ball.y,Ball.z,Step0,Step1,Step2,Reward
0,2,15,0,2,-15,0,2.703177,-2.06,2.222486,0.2365804,-1.523872,0.002008352
0,2,15,0,2,-15,0,1.513736,-2.06,1.952338,0.2609908,-1.548848,0.001477969
0,2,15,0,2,-15,0,0.2579559,-2.06,,,,0.58806
1.118946,2,15,-0.3706387,2,-15,1.118946,0.9538711,-7.109935,-3.003014,0.8738481,0.006267272,0.002599358
3.385705,2,15,-0.3706387,2,-15,3.385705,1.846315,4.135812,0.05777811,0.2737134,-2.180419,1.598227E-05
4.902696,1.044242,12.96172,-0.3706387,2,-15,5.113862,0.8006067,12.70948,,,,1.582244E-05
4.902696,1.044242,12.96172,-0.3706387,2,-15,5.113862,0.8006067,12.70948,,,,0.1462658
4.459545,1.171798,13.23375,3.229362,2,-15,4.430542,1.654977,10.06209,-2.266795,0.3442464,-2.091722,0.008456511
1.914984,1.66785,14.29165,1.773189,2,-15,1.773189,1.95605,-0.2333088,-3.306448,0.7031796,-1.062314,0.007589261
0.6422822,1.682023,14.32187,-0.6898474,1.425842,-10.33048,-0.6333247,1.681176,-9.048434,-2.015275,0.8035747,0.5748486,0.0008383516
0.2454455,1.682023,14.32187,-0.4949185,1.766725,-13.1028,0.2454455,1.813499,0.4576548,3.730329,-0.02176227,-2.116304,0.005151055
0.9071057,1.372663,9.000637,-0.4949185,1.766725,-13.1028,1.011866,1.467373,8.748398,,,,0.005099544
0.9071057,1.372663,9.000637,-0.4949185,1.766725,-13.1028,1.011866,1.467373,8.748398,,,,0.1404255
0.9761762,1.397346,9.236683,0.7050815,1.766725,-13.1028,1.303017,1.711636,7.935532,3.786174,-0.231992,-2.796204,0.002478244
0.5478961,1.693534,12.06923,4.796824,1.766725,-13.1028,4.796824,1.888149,-1.818866,-6.466655,1.031142,-0.01068073,0.009242671
3.193239,1.800492,13.0921,7.018149,1.186805,-9.844186,7.199125,2.129466,-7.600913,-7.319651,1.163956,0.7688913,0.009126924
5.864595,1.800492,13.0921,4.752889,1.463888,-11.60093,5.864595,4.080518,0.881941,-6.342992,0.9847624,-0.1237345,0.009055113
4.530065,1.800492,13.0921,2.487622,1.740971,-13.35768,4.530065,0.9460674,9.364795,-1.909777,0.3250568,-2.133573,0.006066507
4.265205,0.9731476,11.89179,1.858381,1.817939,-13.84567,4.172198,0.7588638,11.63955,,,,0.004640129
4.265205,0.9731476,11.89179,1.858381,1.817939,-13.84567,4.172198,0.7588638,11.63955,,,,0.1349131
2.522142,1.3704,13.09425,0.4355813,1.95648,-14.72404,0.4355813,2.403295,4.524672,2.68347,-0.0195178,-2.463721,0.001871259
1.506723,1.614863,13.83422,-4.738195,1.95648,-14.72404,-4.738195,0.3010163,-5.3267,5.980486,-0.2626103,-1.838623,0.008872915
-6.383725,1.614863,13.83422,-5.397705,1.45047,-10.80345,-6.383725,2.069921,-2.682098,6.898324,-0.5936065,-2.175898,0.008735104
-5.505405,1.183134,11.88193,-3.199924,1.692131,-12.64891,-5.376004,0.713869,9.636835,7.152545,-0.720566,-2.547615,0.008343585
-5.402073,0.9660993,10.82072,-3.016775,1.712269,-12.8027,-5.299793,0.9180667,10.56848,,,,0.008277729
-5.402073,0.9660993,10.82072,-3.016775,1.712269,-12.8027,-5.299793,0.9180667,10.56848,,,,0.129905
-3.235248,1.361233,12.41794,1.153188,1.853238,-13.87922,1.153188,2.303522,0.4360839,2.673512,0.0693812,-1.907243,0.0009748914
